time,block,balance
1649581514,13230848,356361.9529
1649554892,13217789,354485.8125
1649634526,13256966,357207.6665
1649608164,13243907,356813.5633
1649687191,13283084,359972.5007
1649660839,13270025,359082.6653
1649739985,13309202,372164.6305
1649713608,13296143,371674.7203
1649792641,13335320,376578.3111
1649766324,13322261,374846.0501
1649845447,13361438,378495.2745
1649819056,13348379,377966.8834
1649898227,13387556,377263.3396
1649871847,13374497,375454.841
1649950206,13413674,354494.9409
1649924590,13400615,354181.3765
1650002865,13439792,352810.2881
1649976541,13426733,353320.038
1650055796,13465910,353375.1263
1650029226,13452851,352777.6673
1650108316,13492028,354090.6918
1650082036,13478969,353925.2539
1650158826,13518146,354871.4232
1650134539,13505087,353554.811
1650185096,13531205,355142.5857
1650211447,13544264,354991.7579
1650264229,13570382,351673.3894
1650237796,13557323,351561.4492
1650317156,13596500,352846.2953
1650369919,13622618,353552.5772
1650343543,13609559,353215.7802
1650290680,13583441,352046.4116
1650422598,13648736,354903.4282
1650396283,13635677,354382.3429
1650475021,13674854,354443.7039
1650448969,13661795,355881.1183
1650527697,13700972,355796.7293
1650501323,13687913,354706.3263
1650580483,13727090,356168.6159
1650554034,13714031,356037.5184
1650633192,13753208,356116.9287
1650606870,13740149,356443.457
1650685810,13779326,351095.1463
1650659516,13766267,351551.9984
1650738479,13805444,350702.8681
1650712114,13792385,350459.5136
1650790984,13831562,356615.9908
1650843637,13857680,356659.8504
1650817337,13844621,356440.2833
1650896257,13883798,357838.9077
1650869976,13870739,357816.2932
1650948838,13909916,358881.894
1650922555,13896857,358515.2111
1651001154,13936034,351772.2226
1650764693,13818503,354713.627
1650975119,13922975,351314.6053
1651053720,13962152,351172.7034
1651027415,13949093,351278.2071
1651106544,13988270,349258.9607
1651080000,13975211,350453.8149
1651159690,14014388,349982.6218
1651133111,14001329,349245.3638
1651213681,14040506,350205.6543
1651240811,14053565,350369.7579
1651321480,14092742,355877.8426
1651294571,14079683,355877.2829
1651186709,14027447,350200.0848
1651267802,14066624,354159.2531
1651375324,14118860,357674.9038
1651348481,14105801,355843.0178
1651428907,14144978,358315.5638
1651482357,14171096,357455.5937
1651402078,14131919,358064.2073
1651455576,14158037,358571.9269
1651535949,14197214,358194.9327
1651509119,14184155,357560.5012
1651589686,14223332,362761.2295
1651562735,14210273,358996.305
1651643531,14249450,363497.2148
1651616679,14236391,362970.6406
1651697030,14275568,359316.167
1651670332,14262509,363972.9878
1651750660,14301686,353745.7563
1651723870,14288627,353697.9991
1651804954,14327804,357249.0501
1651858649,14353922,361121.583
1651831905,14340863,358624.4026
1651777832,14314745,356904.7603
1651912652,14380040,362507.2764
1651885450,14366981,362386.7544
1651968090,14406158,362049.884
1651940203,14393099,362316.153
1652023235,14432276,366313.051
1651995797,14419217,365400.1714
1652077601,14458394,366388.684
1652050720,14445335,367038.0982
1652130932,14484512,360242.5553
1652104311,14471453,366474.9163
1652184286,14510630,361901.4102
1652157466,14497571,361410.0219
1652236806,14536748,363038.1573
1652210683,14523689,361815.9124
1652289084,14562866,365096.2873
1652263022,14549807,364453.6314
1652341246,14588984,366518.0036
1652315179,14575925,367283.5996
1652392860,14615102,374183.264
1652445179,14641220,374763.1696
1652366825,14602043,367874.4699
1652418872,14628161,375190.6837
1652497255,14667338,375207.1654
1652471198,14654279,375017.1017
1652549543,14693456,371350.164
1652523427,14680397,375790.1624
1652575670,14706515,372141.9807
1652601867,14719574,373102.9284
1652654169,14745692,373781.0982
1652627960,14732633,373426.4792
1652706329,14771810,374248.7921
1652680358,14758751,374361.6145
1652758642,14797928,374851.9489
1652811074,14824046,377420.4129
1652732464,14784869,374603.911
1652784886,14810987,377114.2525
1652863906,14850164,377500.1341
1652837554,14837105,377497.2844
1652916389,14876282,378837.5032
1652968621,14902400,380469.4089
1652890123,14863223,378532.1979
1652942615,14889341,381540.5539
1653020662,14928518,381455.017
1652994570,14915459,381322.8764
1653072674,14954636,386780.24
1653046787,14941577,387141.3809
1653125022,14980754,387413.8534
1653098770,14967695,387133.8434
1653151221,14993813,387615.8904
1653177486,15006872,387047.542
1653229885,15032990,390569.164
1653203733,15019931,387370.1374
1653256086,15046049,391032.923
1653282249,15059108,391015.1958
1653335377,15085226,390373.9353
1653308884,15072167,391197.167
1653388166,15111344,389016.6014
1653361771,15098285,390226.1141
1653440650,15137462,389407.967
1653493159,15163580,389443.4657
1653414360,15124403,389271.187
1653545794,15189698,393984.8052
1653467042,15150521,389496.1269
1653519273,15176639,389570.1244
1653597588,15215816,395398.6775
1653571565,15202757,394854.8806
1653649913,15241934,396004.1925
1653623798,15228875,397077.6281
1653701802,15268052,396562.2762
1653754606,15294170,395942.812
1653675625,15254993,396545.5467
1653728329,15281111,396076.3551
1653807517,15320288,396192.8115
1653780945,15307229,396141.1001
1653859938,15346406,396020.6065
1653833748,15333347,396397.5064
1653912238,15372524,395623.9421
1653886027,15359465,395346.7491
1653938550,15385583,395779.2479
1653964590,15398642,396000.1375
1654016777,15424760,396045.5089
1653990785,15411701,395876.1072
1654069192,15450878,400666.446
1654042988,15437819,399044.8322
1654121422,15476996,401292.9879
1654173896,15503114,403841.7738
1654095380,15463937,400559.5362
1654147611,15490055,401301.8191
1654226397,15529232,405214.751
1654200132,15516173,404492.0459
1654278716,15555350,406768.3833
1654252631,15542291,407396.2988
1654304968,15568409,405420.8686
1654331267,15581468,404598.5544
1654383728,15607586,406289.6122
1654357505,15594527,406218.4318
1654488724,15659822,407511.7963
1654542406,15685940,408367.6206
1654436357,15633704,406896.5944
1654595246,15712058,405553.3
1654647320,15738176,417732.4768
1654621431,15725117,417878.634
1654699738,15764294,418625.913
1654410077,15620645,406743.0902
1654514929,15672881,407828.3684
1654462584,15646763,407068.9169
1654673473,15751235,417801.8099
1654568960,15698999,409705.3517
1654752243,15790412,422279.3292
1654725956,15777353,422050.4063
1654804785,15816530,421179.3675
1654778628,15803471,422495.3156
1654961892,15894884,429055.2931
1654883435,15855707,428603.322
1654936025,15881825,428531.9239
1655013958,15921002,429512.8705
1654988032,15907943,428997.1485
1654857447,15842648,429001.6792
1654831103,15829589,426350.2833
1655065851,15947120,420723.3823
1655116565,15973238,415270.92
1654909661,15868766,430609.6408
1655040008,15934061,429501.4286
1655167296,15999356,411566.9677
1655091360,15960179,420503.5033
1655296140,16064651,425279.3101
1655141561,15986297,413494.9522
1655244324,16038533,419306.0741
1655270406,16051592,420793.6681
1655192579,16012415,414449.4404
1655321283,16077710,425940.4705
1655218398,16025474,414392.0049
1655632440,16234418,429108.426
1655347047,16090769,425863.7649
1655529394,16182182,426091.0349
1655581181,16208300,427174.7067
1655477102,16156064,424289.9238
1655658496,16247477,429720.3606
1655399039,16116887,425241.162
1655373411,16103828,426725.2139
1655684435,16260536,430532.3991
1655736619,16286654,434822.8763
1655555163,16195241,427040.2643
1655503234,16169123,426186.8815
1655425004,16129946,425469.5129
1655451014,16143005,424729.3732
1655710624,16273595,433041.4894
1655606497,16221359,428626.7227
1655788807,16312772,436649.2119
1655893467,16365008,441935.8008
1655867323,16351949,439528.836
1655815122,16325831,437789.7015
1655762720,16299713,433542.2006
1655945632,16391126,442113.4816
1655841201,16338890,438297.4726
1655919513,16378067,441347.1409
1655997911,16417244,440558.6121
1655971799,16404185,441771.5262
1656049971,16443362,441366.1056
1656024005,16430303,440953.9296
1656102175,16469480,439813.7154
1656076060,16456421,441595.5763
1656154391,16495598,438077.0433
1656128283,16482539,438677.8457
1656206647,16521716,438286.647
1656180544,16508657,438043.6837
1656259050,16547834,437993.7394
1656232817,16534775,437577.0918
1656285202,16560893,437568.601
1656311453,16573952,441688.6544
1656363681,16600070,443265.9803
1656337605,16587011,441638.0032
1656416059,16626188,443496.453
1656389818,16613129,443299.3803
1656468236,16652306,448242.8212
1656442091,16639247,446565.0052
1656520472,16678424,447566.756
1656494345,16665365,450107.3937
1656572797,16704542,450152.6729
1656546657,16691483,449953.7168
1656625046,16730660,454227.0277
1656598865,16717601,450316.2683
1656677328,16756778,455400.7735
1656651135,16743719,454803.8364
1656729739,16782896,456723.7146
1656703505,16769837,455591.8497
1656782174,16809014,457771.8417
1656755973,16795955,456759.0921
1656808416,16822073,457784.7553
1656860853,16848191,458711.1011
1656913265,16874309,459508.8443
1656834616,16835132,457954.1091
1656886987,16861250,458992.4699
1656965846,16900427,462046.2941
1656939615,16887368,461887.1968
1657018595,16926545,462867.5029
1656992155,16913486,462899.4739
1657044837,16939604,465527.2354
1657070996,16952663,467032.0768
1657097193,16965722,467257.0992
1657149611,16991840,472775.3532
1657123481,16978781,469629.5823
