balance,time,block
6148526.972,1644705731,5948041
6093542.474,1645049234,6202957
6089483.38,1644802781,6011770
6111727.168,1645182208,6309172
6095618.789,1644942307,6117985
6122568.601,1644860647,6054256
6094224.213,1645022690,6181714
6112942.035,1644833854,6033013
6091475.582,1645076765,6224200
6065064.128,1645453038,6542845
6089521.21,1645425570,6521602
6108509.553,1645154085,6287929
6085195.514,1645104709,6245443
6116534.977,1645204702,6330415
6110452.934,1645233292,6351658
6064669.792,1645475835,6564088
6084299.232,1645341980,6436630
6080915.61,1645398680,6500359
6111735.117,1645287093,6394144
6104997.156,1645313596,6415387
6107830.021,1645127281,6266686
6068065.788,1645484572,6585331
6062633.359,1645362464,6457873
6067219.503,1645377625,6479116
6047153.606,1645691912,6797761
6097311.836,1645628888,6734032
6082153.759,1645841950,6925219
6076277.57,1645603259,6712789
6073485.399,1645562888,6670303
6075815.579,1645967694,7031434
6074838.025,1645940527,7010191
6064614.977,1645498682,6606574
6057691.776,1645716737,6819004
6089885.09,1645671047,6776518
6074514.659,1645918854,6988948
6133379.415,1646171593,7201378
6078292.222,1646014333,7073920
6056620.088,1645542194,6649060
6040048.502,1645794490,6882733
6057022.697,1645518653,6627817
6106166.255,1646123853,7158892
6126617.9,1646240921,7265107
6093774.644,1645650724,6755275
6069576.665,1645872650,6946462
6135205.897,1646197820,7222621
6084944.695,1645818235,6903976
6051284.624,1645767336,6861490
6049765.405,1645740929,6840247
6080740.288,1645991309,7052677
6071782.514,1646421114,7413808
6081560.767,1646041890,7095163
6029591.88,1646703142,7541266
6106880.751,1646260040,7307593
6105763.145,1646247794,7286350
6076724.728,1646803379,7626238
6071656.884,1646480651,7435051
6073971.663,1645900159,6967705
6143861.561,1646147630,7180135
6096191.873,1646097248,7137649
6104033.852,1646066806,7116406
6075026.021,1645579247,6691546
6104990.743,1646272690,7328836
6070088.903,1646994194,7732453
6069496.983,1646740060,7562509
6069628.033,1646759220,7583752
6031296.178,1646603497,7477537
6103613.538,1646299718,7350079
6125754.464,1646222487,7243864
6071209.987,1646378982,7392565
6031665.154,1646669031,7520023
6051485.696,1646952200,7711210
6059008.563,1646829819,7647481
6066696.479,1647028812,7753696
6051385.184,1646545530,7456294
6062368.675,1647126757,7817425
6102206.652,1646333653,7371322
6055501.507,1647087331,7796182
6069051.51,1647212934,7859911
6050374.883,1646909497,7689967
6026658.129,1646631076,7498780
6042550.559,1647324060,7923640
6046210.837,1646870789,7668724
6043633.118,1647287521,7902397
6085323.873,1647738533,8178556
6052907.051,1647549516,8072341
6068416.663,1647172020,7838668
6074792.631,1647810161,8221042
6049406.389,1647429868,7987369
6076357.305,1646787995,7604995
6042316.877,1647249267,7881154
6069718.02,1647586039,8093584
6049031.935,1647518222,8051098
6041307.786,1647360380,7944883
6069654.39,1647060805,7774939
6052946.022,1647394584,7966126
6069752.625,1647847077,8242285
6021509.405,1647458408,8008612
6079754.319,1647941622,8306014
6081788.367,1647969068,8327257
6109230.981,1648090776,8454715
5767448.124,1648197339,8560930
6092223.561,1648044009,8412229
6082699.163,1647995650,8348500
5791378.919,1648130190,8497201
