Date,Swap,Margin trading,Mint GLP,Burn GLP,Liquidation,Cumulative
2022-02-24,97773.1454682426,153198.31282748815,12364.708719069436,25356.83473412936,1960.1278446937795,6188547.971634004
2022-02-25,32810.26658510634,83129.34960848212,3119.2563564939956,4078.5948482090025,258.8176154522662,6311944.256647748
2022-02-26,23232.025578902416,82454.4193177891,4993.565428933548,3212.693082335841,216.9848537575017,6426053.944909466
2022-02-27,27025.664020355784,95062.80880069864,2929.6634022529574,3864.8791440163022,2317.2896353282267,6557254.249912119
2022-02-28,30041.319569486936,94970.94432035855,3187.0860698188435,4143.423924683378,619.3672538428509,6690216.391050309
2022-03-01,19400.93282951992,71745.26033783643,2755.2443069620144,669.1048892385251,668.427908049227,6785455.361321915
2022-03-02,18650.10492836394,63320.83345182651,1851.4942061151612,1469.3129408767977,104.92409624053107,6870852.030945338
2022-03-03,20311.80703323896,62538.357631220315,9167.853787922211,1831.877807793003,1552.4164221946921,6966254.343627707
2022-03-04,34753.212978246884,70310.58179689579,4312.9653086932185,1630.3878053093688,243.43158005722216,7077504.923096909
2022-03-05,10529.38298848283,27398.808372307853,3617.701933995381,1283.1675224689716,149.41113311914523,7120483.395047284
2022-03-06,7075.406731251647,44722.18379469506,2404.9044868569863,1797.891559915635,207.29220066741254,7176691.07382067
2022-03-07,13575.73546818341,70549.50943209707,3726.5882775442396,10635.747030224198,111.36227751713886,7275290.016306236
2022-03-08,12142.060517141805,37595.10994521675,2345.2556887252704,3827.628298374759,227.05908284803445,7331427.129838543
2022-03-09,12847.805152532861,53658.93766916768,7240.681049316936,2670.966051408252,252.84541857064323,7408098.36517954
2022-03-10,15643.445828299678,40598.43232962881,1297.8685473453345,1414.8373741810665,14468.909910601848,7481521.859169597
2022-03-11,12149.439230290816,75331.4877290534,870.6740727412526,4059.253047528288,181.37213512971357,7574114.08538434
2022-03-12,6109.764973405431,19230.32733438165,988.6711757825725,8954.521128668943,108.25388274882425,7609505.623879327
2022-03-13,6755.549077097373,35333.64676148282,7038.534742703018,3291.392805707109,1672.368223524718,7663597.115489842
2022-03-14,17004.983491937197,53215.07173283082,876.8558885618862,3435.0920878750867,22614.189571080155,7760743.308262127
2022-03-15,10011.444461149347,38169.11946624065,3402.031933573293,4385.443742983472,1181.7314891997157,7817893.079355274
2022-03-16,17121.812625317394,40225.2386733351,2438.2734284508347,11168.608473533783,854.3890129232241,7889701.401568835
2022-03-17,14526.720973283382,90536.67020256596,3639.0786636334146,11003.757394288128,736.6519002524583,8010144.280702858
2022-03-18,14655.816425377416,71915.35220562725,3848.6115601079405,1361.2296239205164,3793.3424544707086,8105718.632972362
2022-03-19,16462.49678339136,42379.026148744946,1973.6325714305992,3880.1693058883334,485.8129172339759,8170899.770699051
2022-03-20,4442.914326515259,24491.10221413039,1831.3686363148736,185.57143415020425,480.0894771424246,8202330.816787304
2022-03-21,17345.01904630152,46265.52964277148,3118.3319655773057,723.0979560037039,38.848105559824035,8269821.643503518
2022-03-22,15920.44487994681,55727.72084376482,1217.779278006894,935.6397448039419,72.17144869537151,8343695.399698736
2022-03-23,11583.816059330802,36238.349815686364,1593.6586046580555,1310.7052110329657,2547.477970810207,8396969.407360254
2022-03-24,6737.0169697404435,78005.98717393161,621.7908062426485,9686.420637743744,1444.8200427931733,8493465.442990705
2022-03-25,7334.6271402466255,42028.101515999064,1518.2662576482514,2942.745286386664,134.12832227784384,8547423.311513264
2022-03-26,12962.684184428279,44039.29890493425,735.5776370018255,743.4260104569368,7.522789333655965,8605911.82103942
2022-03-27,3594.220797930177,26821.33830701147,3259.9637252883604,1148.9262127978293,149.4687726125885,8640885.73885506
2022-03-28,9118.831055376591,49897.08084586774,1498.7030667020267,4079.170334504287,202.6656124217625,8705682.189769933
2022-03-29,13809.506820650095,67178.06155522286,2875.990213306983,4815.215803004619,152.4853540828626,8794513.4495162
2022-03-30,39248.908184010084,65067.03790208904,2494.632134342717,803.8350114866216,2378.51225200684,8904506.375000134
2022-03-31,19268.498160561998,74725.77944605383,1168.7346309693444,897.9304619558227,595.5365351507207,9001162.854234826
2022-04-01,21367.85505323179,95105.02180867344,15033.178704100108,2963.6964313115877,1434.3970276901819,9137067.003259832
2022-04-02,24441.41917122165,149104.5418415764,3477.321737614132,3026.7140708913685,608.8852171875769,9317725.885298323
2022-04-03,23620.7390530048,68095.53360030538,1761.9565365238896,884.7987863064141,11.35324473187211,9412100.266519194
2022-04-04,10340.52316236151,94710.88591502538,2337.183041856677,5786.458701796039,677.6920081581193,9525953.009348392
2022-04-05,15252.89927465551,97896.03057210142,9847.54853567748,2400.910161550939,197.17171312478604,9651547.569605503
2022-04-06,32225.359317701965,96301.13448408947,3991.1957849885157,4916.7536813064135,3751.047914949784,9792733.06078854
2022-04-07,20686.731413217636,100989.70190416065,10372.958659677128,1015.5502320173371,12171.874455061872,9937969.877452675
2022-04-08,14880.213736192589,67596.97408268608,2090.8847038940726,1765.710962841862,1207.39543931777,10025511.056377608
2022-04-09,8572.82432388368,24759.811008140314,1423.5359358805958,943.2998758227012,212.14956016898577,10061422.677081505
2022-04-10,6211.36020056264,20508.677127371,3191.5938109506874,1271.9325382220898,260.41251398354507,10092866.653272595
2022-04-11,23916.86396944786,54460.98253227872,6448.0428009197785,3486.691688859012,5034.152525668207,10186213.386789769
2022-04-12,10103.789844883691,17359.276855215438,5225.983968002219,15434.724934168347,769.4502905090158,10235106.612682547
2022-04-13,11303.166521930776,23867.586020414037,6566.3358466169875,10066.419306883687,7.545666109595913,10286917.666044502
2022-04-14,9808.029942148058,45230.748235965315,9065.916528608439,4633.760940350482,267.82204796864244,10355923.943739543
2022-04-15,13597.301789561405,6576.082367403527,1802.0128936348335,9958.788297132687,131.29113127520304,10387989.42021855
2022-04-16,10122.159752026544,3967.67601606667,742.6499492944636,3606.4418195133335,0,10406428.34775545
