rate,time,block,mpl_staked,xmpl_supply
1.000757203,1654171372,14890868,1324395.185,1323393.108
1.000993915,1654300082,14900044,1693415.552,1691734.112
1.000999554,1654303820,14900292,1693465.091,1691774.072
1.00098876,1654296665,14899796,1693260.67,1691588.096
1.001014442,1654313831,14901036,1722114.336,1720369.122
1.001009509,1654310506,14900788,1722099.066,1720362.345
1.000956443,1654276180,14898308,1366330.217,1365024.649
1.001029595,1654324046,14901780,1722876.232,1721104.191
1.001034926,1654327641,14902028,1722885.407,1721104.191
1.001024049,1654320307,14901532,1722130.864,1720369.122
1.001039897,1654330993,14902276,1722893.962,1721104.191
1.001045683,1654334895,14902524,1722903.92,1721104.191
1.001056862,1654342437,14903020,1725964.122,1724141.942
1.001004183,1654306916,14900540,1721747.338,1720020.124
1.001051556,1654338856,14902772,1722936.629,1721126.767
1.001061901,1654345841,14903268,1726024.617,1724193.695
1.001067771,1654349807,14903516,1726034.739,1724193.695
1.000830422,1654209389,14893596,1330764.165,1329659.986
1.00107308,1654353393,14903764,1725542.675,1723693.014
1.001079171,1654357507,14904012,1725553.174,1723693.014
1.001018953,1654316872,14901284,1722122.097,1720369.122
1.000943374,1654269190,14897812,1366312.377,1365024.649
1.001084786,1654361299,14904260,1725562.852,1723693.014
1.001090056,1654364858,14904508,1725571.935,1723693.014
1.001106873,1654376216,14905252,1725600.922,1723693.014
1.001095121,1654368279,14904756,1725580.666,1723693.014
1.001100953,1654372218,14905004,1725590.719,1723693.014
1.001112583,1654380073,14905500,1725610.766,1723693.014
1.001123287,1654387303,14905996,1725968.299,1724031.717
1.001133992,1654394535,14906492,1725976.745,1724021.717
1.001128518,1654390837,14906244,1725967.307,1724021.717
1.001145191,1654402100,14906988,1725996.052,1724021.717
1.001139328,1654398139,14906740,1725985.943,1724021.717
1.001117922,1654383679,14905748,1725959.05,1724031.717
1.001150774,1654405871,14907236,1726005.676,1724021.717
1.001155758,1654409238,14907484,1726138.925,1724146.23
1.001166492,1654416490,14907980,1726206.696,1724195.435
1.00117608,1654422967,14908476,1726223.226,1724195.435
1.00117094,1654419495,14908228,1726214.365,1724195.435
1.001186808,1654430215,14908972,1726241.724,1724195.435
1.001181473,1654426611,14908724,1726232.526,1724195.435
1.001197193,1654437231,14909468,1726259.63,1724195.435
1.001191915,1654433665,14909220,1726250.529,1724195.435
1.001202513,1654440825,14909716,1726268.802,1724195.435
1.001207578,1654444247,14909964,1726277.536,1724195.435
1.00121928,1654452153,14910460,1727417.16,1725313.519
1.001213703,1654448385,14910212,1726288.096,1724195.435
1.001225108,1654456093,14910708,1727427.215,1725313.519
1.001235914,1654463398,14911204,1727445.859,1725313.519
1.001230553,1654459774,14910956,1727436.61,1725313.519
1.001246162,1654470326,14911700,1727463.54,1725313.519
1.001241214,1654466981,14911452,1727455.003,1725313.519
1.001251415,1654473877,14911948,1727472.603,1725313.519
1.001262662,1654481480,14912444,1727492.006,1725313.519
1.001257252,1654477823,14912196,1727482.673,1725313.519
1.00126862,1654485508,14912692,1727809.499,1725620.343
1.001274036,1654489170,14912940,1727818.845,1725620.343
1.001278891,1654492453,14913188,1727827.224,1725620.343
1.00128474,1654496409,14913436,1728922.296,1726703.93
1.001295391,1654503615,14913932,1728900.524,1726663.82
1.001301153,1654507521,14914180,1739312.563,1737052.392
1.001306293,1654511027,14914428,1746375.137,1744096.835
1.001315866,1654517569,14914924,1746391.833,1744096.835
1.001326878,1654525095,14915420,1746774.744,1744460.059
1.001310999,1654514243,14914676,1746383.345,1744096.835
1.001338372,1654532952,14915916,1746794.796,1744460.059
1.001321639,1654521514,14915172,1746765.605,1744460.059
1.001343881,1654536717,14916164,1746804.405,1744460.059
1.001348715,1654540257,14916412,1977368.126,1974704.812
1.001332807,1654529148,14915668,1746785.088,1744460.059
1.001353109,1654543657,14916660,1977402.537,1974730.511
1.001357924,1654547382,14916908,1977412.044,1974730.511
1.001367471,1654554769,14917404,1977430.897,1974730.511
1.001362951,1654551272,14917156,1977421.972,1974730.511
1.001377883,1654562848,14917900,1991195.726,1988455.866
1.001372468,1654558636,14917652,1977549.54,1974839.136
1.001386615,1654569742,14918396,2031498.513,2028685.508
1.001382223,1654566251,14918148,2029036.58,2026235.87
1.001390909,1654573157,14918644,2033007.699,2030183.899
1.001395335,1654576678,14918892,2033392.147,2030558.837
1.001400175,1654580529,14919140,2033401.975,2030558.837
1.001404794,1654584204,14919388,2033411.354,2030558.837
1.001413734,1654591317,14919884,2033578.72,2030707.84
1.001422846,1654598566,14920380,2033099.542,2030210.865
1.001418102,1654594792,14920132,2033089.911,2030210.865
1.001409546,1654587985,14919636,2033421.004,2030558.837
1.001432034,1654605876,14920876,2033344.316,2030436.661
1.001427425,1654602209,14920628,2033323.958,2030425.677
1.001436627,1654609530,14921124,2033353.642,2030436.661
1.001440487,1654612602,14921372,2034588.526,2031661.943
1.001449301,1654619621,14921868,2035494.149,2032548.375
1.001444601,1654615878,14921620,2035484.597,2032548.375
1.001458892,1654627259,14922364,2035513.643,2032548.375
1.001454417,1654623695,14922116,2035504.547,2032548.375
1.001468429,1654634855,14922860,2035938.446,2032953.199
1.001463244,1654630725,14922612,2035522.488,2032548.375
1.001476374,1654642168,14923356,2399019.885,2395483.256
1.001472501,1654638533,14923108,2398831.849,2395304.761
1.001483762,1654649103,14923852,2399037.584,2395483.256
1.001479725,1654645314,14923604,2399027.914,2395483.256
1.001487736,1654652833,14924100,2399223.136,2395659.028
1.001491572,1654656434,14924348,2399296.789,2395723.394
1.001495517,1654660139,14924596,2402261.021,2398673.764
1.00149943,1654663817,14924844,2402270.408,2398673.764
1.001507413,1654671320,14925340,2402289.556,2398673.764
1.001511149,1654674831,14925588,2402298.517,2398673.764
1.001503553,1654667692,14925092,2402280.297,2398673.764
1.001515221,1654678658,14925836,2402408.284,2398773.613
1.001523116,1654686079,14926332,2402434.652,2398781.03
1.001530942,1654693436,14926828,2405174.366,2401497.811
1.001526978,1654689709,14926580,2402587.351,2398924.246
1.001519193,1654682392,14926084,2402417.814,2398773.613
1.001538336,1654700399,14927324,2409198.644,2405498.18
1.001534632,1654696910,14927076,2406887.962,2403199.934
1.001545776,1654707412,14927820,2409216.542,2405498.18
1.001542032,1654703883,14927572,2409207.535,2405498.18
1.001553513,1654714704,14928316,2409397.609,2405660.386
1.001549466,1654710890,14928068,2409225.418,2405498.18
1.001290323,1654500186,14913684,1728931.935,1726703.93
1.001561135,1654721889,14928812,2409415.947,2405660.386
1.001557372,1654718342,14928564,2409406.894,2405660.386
1.001568952,1654729257,14929308,2410993.704,2407216.896
1.001564958,1654725492,14929060,2408924.361,2405160.386
1.001572608,1654732713,14929556,2418218.883,2414421.944
1.001576375,1654736277,14929804,2418227.979,2414421.944
1.001584034,1654743523,14930300,2418246.472,2414421.944
1.001580209,1654739904,14930052,2418237.236,2414421.944
1.001591859,1654750930,14930796,2420983.5,2417135.76
1.001600121,1654758755,14931292,2421003.47,2417135.76
1.001587884,1654747165,14930548,2420973.891,2417135.76
1.001596066,1654754914,14931044,2420993.667,2417135.76
1.001607762,1654765992,14931788,2421109.129,2417222.809
1.001603968,1654762398,14931540,2421099.956,2417222.809
1.001615656,1654773468,14932284,2421160.033,2417254.582
1.001623037,1654780459,14932780,2421177.875,2417254.582
1.001650221,1654806206,14934516,2421243.585,2417254.582
1.001611269,1654769313,14932036,2421117.604,2417222.809
1.001658215,1654813778,14935012,2421262.91,2417254.582
1.001638865,1654795451,14933772,2421216.136,2417254.582
1.001646538,1654802718,14934268,2421234.683,2417254.582
1.001161253,1654412950,14907732,1726147.397,1724145.23
1.001634571,1654791384,14933524,2421205.757,2417254.582
1.00164277,1654799149,14934020,2421225.574,2417254.582
1.001619129,1654776758,14932532,2421168.429,2417254.582
1.001630596,1654787619,14933276,2421196.148,2417254.582
1.001662168,1654817522,14935260,2421391.317,2417373.237
1.001665711,1654820878,14935508,2421399.882,2417373.237
1.001669613,1654824574,14935756,2421409.315,2417373.237
1.001673372,1654828134,14936004,2421418.401,2417373.237
1.001680791,1654835162,14936500,2421788.201,2417724.512
1.001677123,1654831688,14936252,2421779.335,2417724.512
1.001685021,1654839170,14936748,2421857.43,2417783.413
1.001689051,1654842988,14936996,2421867.174,2417783.413
1.001692922,1654846655,14937244,2421876.533,2417783.413
1.001697069,1654850584,14937492,2422312.026,2418208.159
1.001708542,1654861455,14938236,2422339.77,2418208.159
1.001700843,1654854160,14937740,2422321.152,2418208.159
1.001712569,1654865270,14938484,2422349.507,2418208.159
1.001716059,1654868577,14938732,2422357.947,2418208.159
1.001704445,1654857573,14937988,2422329.863,2418208.159
1.001723198,1654875341,14939228,2420315.156,2416151.648
1.001730663,1654882408,14939724,2420333.192,2416151.648
1.001719795,1654872117,14938980,2422366.981,2418208.159
1.001726778,1654878730,14939476,2420323.806,2416151.648
1.001739003,1654890304,14940220,2420356.344,2416154.643
1.001734624,1654886158,14939972,2420345.763,2416154.643
1.001747033,1654897906,14940716,2420375.746,2416154.643
1.001750649,1654901329,14940964,2420384.482,2416154.643
1.001743016,1654894103,14940468,2420366.04,2416154.643
